Phi[deg],Theta[deg],GainTotal
-128,6,7.06372
-126,6,7.03917
-124,6,7.01409
-122,6,6.9885
-120,6,6.96245
-118,6,6.93596
-116,6,6.90907
-114,6,6.88182
-112,6,6.85424
-110,6,6.82636
-108,6,6.79823
-106,6,6.76988
-104,6,6.74135
-102,6,6.71267
-100,6,6.68389
-98,6,6.65504
-96,6,6.62616
-94,6,6.59728
-92,6,6.56846
-90,6,6.53971
-88,6,6.51109
-86,6,6.48262
-84,6,6.45435
-82,6,6.42631
-80,6,6.39854
-78,6,6.37107
-76,6,6.34394
-74,6,6.31718
-72,6,6.29082
-70,6,6.26491
-68,6,6.23946
-66,6,6.21451
-64,6,6.19008
-62,6,6.16622
-60,6,6.14295
-58,6,6.12028
-56,6,6.09826
-54,6,6.0769
-52,6,6.05622
-50,6,6.03626
-48,6,6.01703
-46,6,5.99854
-44,6,5.98083
-42,6,5.9639
-40,6,5.94778
-38,6,5.93248
-36,6,5.91801
-34,6,5.90438
-32,6,5.89162
-30,6,5.87972
-28,6,5.8687
-26,6,5.85857
-24,6,5.84933
-22,6,5.84099
-20,6,5.83355
-18,6,5.82703
-16,6,5.82141
-14,6,5.81671
-12,6,5.81292
-10,6,5.81005
-8,6,5.8081
-6,6,5.80706
-4,6,5.80693
-2,6,5.80771
0,6,5.80939
2,6,5.81197
4,6,5.81545
6,6,5.81982
8,6,5.82507
10,6,5.83119
12,6,5.83818
14,6,5.84603
16,6,5.85474
18,6,5.86428
20,6,5.87465
22,6,5.88585
24,6,5.89785
26,6,5.91065
28,6,5.92424
30,6,5.9386
32,6,5.95373
34,6,5.96959
36,6,5.98619
38,6,6.00351
40,6,6.02153
42,6,6.04024
44,6,6.05961
46,6,6.07964
48,6,6.1003
50,6,6.12158
52,6,6.14345
54,6,6.1659
56,6,6.1889
58,6,6.21243
60,6,6.23648
62,6,6.26101
64,6,6.286
66,6,6.31143
68,6,6.33727
70,6,6.3635
72,6,6.39008
74,6,6.41699
76,6,6.4442
78,6,6.47168
80,6,6.49939
82,6,6.52731
84,6,6.55541
86,6,6.58364
88,6,6.61197
90,6,6.64038
92,6,6.66882
94,6,6.69725
96,6,6.72565
98,6,6.75398
100,6,6.78218
102,6,6.81024
104,6,6.83811
106,6,6.86575
108,6,6.89312
110,6,6.92019
112,6,6.94692
114,6,6.97326
116,6,6.99919
118,6,7.02467
120,6,7.04965
122,6,7.0741
124,6,7.098
126,6,7.12129
128,6,7.14395
130,6,7.16595
132,6,7.18725
134,6,7.20783
136,6,7.22765
138,6,7.24668
140,6,7.26491
142,6,7.2823
144,6,7.29883
146,6,7.31447
148,6,7.32921
150,6,7.34303
152,6,7.3559
154,6,7.36782
156,6,7.37876
158,6,7.38871
160,6,7.39767
162,6,7.40561
164,6,7.41254
166,6,7.41844
168,6,7.4233
170,6,7.42713
172,6,7.42992
174,6,7.43167
176,6,7.43237
178,6,7.43203
180,6,7.43065
-180,8,7.56509
-178,8,7.56179
-176,8,7.55716
-174,8,7.55122
-172,8,7.54396
-170,8,7.53541
-168,8,7.52557
-166,8,7.51447
-164,8,7.5021
-162,8,7.4885
-160,8,7.47367
-158,8,7.45764
-156,8,7.44042
-154,8,7.42203
-152,8,7.4025
-150,8,7.38185
-148,8,7.3601
-146,8,7.33727
-144,8,7.3134
-142,8,7.2885
-140,8,7.26262
-138,8,7.23578
-136,8,7.20801
-134,8,7.17935
-132,8,7.14983
-130,8,7.11949
-128,8,7.08837
-126,8,7.0565
-124,8,7.02392
-122,8,6.99069
-120,8,6.95684
-118,8,6.92241
-116,8,6.88746
-114,8,6.85203
-112,8,6.81616
-110,8,6.7799
-108,8,6.74332
-106,8,6.70644
-104,8,6.66933
-102,8,6.63204
-100,8,6.59461
-98,8,6.5571
-96,8,6.51957
-94,8,6.48205
-92,8,6.44461
-90,8,6.40729
-88,8,6.37014
-86,8,6.33322
-84,8,6.29658
-82,8,6.26026
-80,8,6.22432
-78,8,6.18879
-76,8,6.15373
-74,8,6.11918
-72,8,6.08519
-70,8,6.0518
-68,8,6.01904
-66,8,5.98697
-64,8,5.95562
-62,8,5.92502
-60,8,5.89522
-58,8,5.86625
-56,8,5.83813
-54,8,5.81091
-52,8,5.7846
-50,8,5.75925
-48,8,5.73486
-46,8,5.71148
-44,8,5.68911
-42,8,5.66779
-40,8,5.64752
-38,8,5.62833
-36,8,5.61023
-34,8,5.59323
-32,8,5.57735
-30,8,5.5626
-28,8,5.54898
-26,8,5.53651
-24,8,5.52518
-22,8,5.51501
-20,8,5.506
-18,8,5.49814
-16,8,5.49143
-14,8,5.48589
-12,8,5.4815
-10,8,5.47826
-8,8,5.47616
-6,8,5.47521
-4,8,5.4754
-2,8,5.47671
0,8,5.47915
2,8,5.4827
4,8,5.48735
6,8,5.4931
8,8,5.49993
10,8,5.50784
12,8,5.51682
14,8,5.52685
16,8,5.53792
18,8,5.55002
20,8,5.56314
22,8,5.57726
24,8,5.59238
26,8,5.60848
28,8,5.62554
30,8,5.64356
32,8,5.66252
34,8,5.6824
36,8,5.7032
38,8,5.72488
40,8,5.74745
42,8,5.77088
44,8,5.79516
46,8,5.82027
48,8,5.84619
50,8,5.8729
52,8,5.90038
54,8,5.92861
56,8,5.95757
58,8,5.98724
60,8,6.01758
62,8,6.04859
64,8,6.08022
66,8,6.11246
68,8,6.14527
70,8,6.17862
72,8,6.21248
74,8,6.24681
76,8,6.28159
78,8,6.31677
80,8,6.35231
82,8,6.38818
84,8,6.42433
86,8,6.46072
88,8,6.4973
90,8,6.53404
92,8,6.57088
94,8,6.60777
96,8,6.64467
98,8,6.68152
100,8,6.71827
102,8,6.75487
104,8,6.79127
106,8,6.82741
108,8,6.86324
110,8,6.89871
112,8,6.93375
114,8,6.96832
116,8,7.00237
118,8,7.03583
120,8,7.06866
122,8,7.1008
124,8,7.13221
126,8,7.16283
128,8,7.19262
130,8,7.22153
132,8,7.24951
134,8,7.27652
136,8,7.30253
138,8,7.32748
140,8,7.35135
142,8,7.3741
144,8,7.3957
146,8,7.41612
148,8,7.43533
150,8,7.4533
152,8,7.47002
154,8,7.48546
156,8,7.49961
158,8,7.51245
160,8,7.52397
162,8,7.53415
164,8,7.543
166,8,7.55049
168,8,7.55664
170,8,7.56143
172,8,7.56486
174,8,7.56694
176,8,7.56767
178,8,7.56705
180,8,7.56509
-180,10,7.64235
-178,10,7.63809
-176,10,7.63226
-174,10,7.62488
-172,10,7.61596
-170,10,7.60552
-168,10,7.59357
-166,10,7.58014
-164,10,7.56522
-162,10,7.54885
-160,10,7.53104
-158,10,7.51181
-156,10,7.49118
-154,10,7.46917
-152,10,7.44579
-150,10,7.42108
-148,10,7.39506
-146,10,7.36775
-144,10,7.33918
-142,10,7.30938
-140,10,7.27838
-138,10,7.24622
-136,10,7.21293
-134,10,7.17854
-132,10,7.1431
-130,10,7.10665
-128,10,7.06923
-126,10,7.03089
-124,10,6.99168
-122,10,6.95165
-120,10,6.91085
-118,10,6.86933
-116,10,6.82716
-114,10,6.78439
-112,10,6.74108
-110,10,6.69728
-108,10,6.65308
-106,10,6.60851
-104,10,6.56366
-102,10,6.51859
-100,10,6.47335
-98,10,6.42802
-96,10,6.38266
-94,10,6.33734
-92,10,6.29211
-90,10,6.24706
-88,10,6.20224
-86,10,6.15771
-84,10,6.11354
-82,10,6.0698
-80,10,6.02653
-78,10,5.9838
-76,10,5.94167
-74,10,5.9002
-72,10,5.85944
-70,10,5.81943
-68,10,5.78025
-66,10,5.74192
-64,10,5.70451
-62,10,5.66805
-60,10,5.63259
-58,10,5.59817
-56,10,5.56483
-54,10,5.5326
-52,10,5.50152
-50,10,5.47162
-48,10,5.44292
-46,10,5.41546
-44,10,5.38927
-42,10,5.36435
-40,10,5.34073
-38,10,5.31843
-36,10,5.29746
-34,10,5.27784
-32,10,5.25957
-30,10,5.24266
-28,10,5.22712
-26,10,5.21296
-24,10,5.20016
-22,10,5.18875
-20,10,5.1787
-18,10,5.17003
-16,10,5.16272
-14,10,5.15677
-12,10,5.15217
-10,10,5.14892
-8,10,5.14699
